id;ref_table;ref_table_id;approver_employee_id;approval_status;sequence;status;company_id;last_modified;last_modified_by
1;e-markets;45260;160;optimizing;72347;grow Outdoors driver;62977;2023-04-06T02:12:29;Tasty Cheese
2;Generic Functionality;68890;32349;Multi-lateral orchestrate;52713;auxiliary functionalities;93979;2023-04-05T20:19:28;utilize encompassing Creative
3;Administrator;79585;95235;panel coherent;86225;hard morph Avon;98057;2023-04-06T07:20:40;Producer
4;Human;25906;48169;Generic Right-sized;8336;Pizza zero Licensed;37527;2023-04-05T23:47:16;Avon JSON Cambridgeshire
5;Account;55751;23670;Sports;381;Mandatory olive;20653;2023-04-05T14:22:57;Run
6;Hat;48296;48856;Regional;29800;invoice;54356;2023-04-05T13:52:02;Communications
7;Buckinghamshire Applications Designer;84591;37705;mint Freeway;70327;application Soft feed;56283;2023-04-05T23:42:35;productize Object-based Belarus
8;transmitting Shirt;40841;40725;Lead;46104;Human Keyboard grid-enabled;81707;2023-04-05T21:27:11;Paradigm disintermediate
9;Tennessee;85209;24372;deposit;68874;International grey;53812;2023-04-06T04:54:19;Metal
10;Buckinghamshire Accountability withdrawal;52349;75565;Intelligent;87875;User-friendly PCI Missouri;10841;2023-04-05T23:44:49;target
