id;designation_id;squence;approval_setting_id;status;company_id;last_modified;last_modified_by
1;66372;87973;51203;motivating Principal Account;66655;2023-04-06T00:57:53;digital wireless
2;14565;53586;72637;Architect Books;25152;2023-04-06T04:13:44;payment navigate product
3;27420;54802;90990;Synchronised Iraq;45288;2023-04-05T13:27:23;killer
4;53417;84813;90269;California;84312;2023-04-05T12:29:25;mint Avon Associate
5;98887;38231;67728;Cambridgeshire Mayotte reboot;69359;2023-04-06T05:46:13;expedite Leu
6;42407;46038;92731;Infrastructure analyzer maroon;62308;2023-04-06T03:24:10;Personal Future New
7;1348;26206;12877;Garden;23617;2023-04-06T09:56:47;framework Florida Shoes
8;14029;38019;3709;schemas Kuwait synthesizing;2492;2023-04-05T12:22:58;pink salmon
9;73163;28081;28909;Montenegro pink;64292;2023-04-05T14:26:23;application pixel
10;74681;54624;6121;parsing;53227;2023-04-06T08:18:02;Ethiopia
