id;type;approval_category;department_id;status;company_id;last_modified;last_modified_by
1;systemic Director;72322;81007;interface;54822;2023-04-06T09:32:10;tan asynchronous Administrator
2;implement;41525;74516;Avon Tools Fresh;36929;2023-04-06T10:35:36;recontextualize mindshare
3;Niue neural transmit;70914;58431;Gloves Cotton;62235;2023-04-05T20:29:40;Extended optical
4;Practical;20144;99113;Division;59124;2023-04-05T23:06:32;Accountability pink online
5;Account Peru;46872;2624;Buckinghamshire Sleek Drive;7253;2023-04-06T07:39:46;metrics
6;fuchsia FTP Metal;58189;30227;Paradigm;17782;2023-04-05T15:43:12;Account synthesize
7;Renminbi Awesome Flats;50589;19179;quantify;40463;2023-04-06T03:05:41;Automotive Investor Colombian
8;Concrete Digitized haptic;74352;63706;Views;814;2023-04-05T19:14:13;Specialist non-volatile bandwidth
9;overriding Light;19100;59144;Representative Generic;24532;2023-04-06T01:48:24;Shoes firmware
10;Pizza turn-key Buckinghamshire;72443;18514;Rustic;42770;2023-04-05T12:53:51;Salad Lek Assistant
