id;employe_id;approval_setting_id;squence;status;company_id;last_modified;last_modified_by
1;63972;clicks-and-mortar;Baby;Connecticut Table Expressway;64530;2023-04-05T21:56:36;aggregate primary neural
2;83452;Generic;Orchestrator Program withdrawal;Web;94295;2023-04-06T00:26:26;Singapore Parks
3;18310;content Assistant Keyboard;GB Orchestrator;Market metrics systematic;57593;2023-04-05T15:12:08;Tennessee foreground
4;82416;leading-edge Customer-focused;expedite;bleeding-edge;3745;2023-04-06T00:20:31;matrix Krone
5;84059;Concrete;RAM magenta Ergonomic;index Intelligent payment;7263;2023-04-05T22:38:41;Market
6;25508;synthesizing bus Tajikistan;national Accounts mindshare;Savings;90297;2023-04-06T07:02:24;Plastic
7;59199;Dynamic policy sexy;eco-centric;compelling;67296;2023-04-05T16:56:14;function payment Samoa
8;34128;Investment;implementation Compatible;Director Mouse Investor;18615;2023-04-05T22:34:56;UIC-Franc Handcrafted
9;37176;Industrial Division;International Shirt;real-time;735;2023-04-06T05:02:39;e-business Shirt bypass
10;99441;sensor Home;Optimized;Music;10324;2023-04-05T16:32:35;Tasty
