id;name;has_unit_cal;unit_amount;status;employee_id;company_id;last_modified;last_modified_by
1;Chief;false;36896;Cove Card bottom-line;32091;27678;2023-04-06T07:31:02;Optimization parallelism cutting-edge
2;engage;true;37344;Wooden Interactions card;79269;3255;2023-04-05T15:35:38;Automotive Jamaica
3;web-enabled Buckinghamshire;true;11630;Centers Agent Berkshire;30961;87488;2023-04-05T22:47:04;Investor invoice payment
4;workforce;false;65581;Tasty Gloves back;48280;89813;2023-04-05T12:47:16;GB
5;Minnesota;true;54064;Solutions Investor;33975;97751;2023-04-05T21:43:27;architect navigating dot-com
6;Steel;false;61584;microchip;93137;84486;2023-04-05T22:27:43;Checking
7;Streamlined Dollar;false;90442;Directives;97816;2540;2023-04-05T19:42:15;Grocery exuding Handmade
8;back-end Liaison;true;64458;Drive Mouse Frozen;74094;28615;2023-04-05T21:33:40;SDD
9;Grocery IB;false;38075;Maryland;19738;1113;2023-04-05T13:52:01;models
10;Shoes Bangladesh Avon;true;80597;Zloty Metal;59251;21577;2023-04-06T00:57:50;quantifying reboot indigo
