id;name;department_id;status;company_id;last_modified;last_modified_by
1;Liaison alarm Market;2507;Account North;33898;2023-04-05T20:29:16;incremental
2;Dollar District;29018;bluetooth set;82499;2023-04-05T19:18:54;parse digital
3;hack Pataca teal;65168;Metal;63054;2023-04-06T06:40:23;Buckinghamshire leading-edge Baby
4;copying Station;56954;front-end Haven;46088;2023-04-05T20:35:00;magenta Pizza Soap
5;plum Inverse;47438;green;11235;2023-04-05T13:17:36;Ergonomic
6;Handmade Intelligent RAM;71049;Cross-platform;17565;2023-04-05T23:51:53;Mobility Fully-configurable up
7;e-business Account schemas;61470;Grove;66791;2023-04-06T10:46:06;hard
8;Checking Rubber;46009;Granite Dynamic;91670;2023-04-06T08:42:57;Concrete
9;data-warehouse;66534;Pizza Manat mesh;35279;2023-04-05T13:34:56;orchestrate Books
10;Jamaica;31140;Loan Lead withdrawal;28652;2023-04-06T02:40:29;adapter
