id;amount;tax_exemp_section_id;exemption_status;status;employee_id;company_id;last_modified;last_modified_by
1;24310;90716;XML disintermediate clear-thinking;back-end Grocery Extensions;69929;77611;2023-06-06T16:58:52;Texas matrix synthesizing
2;7868;83172;Tactics;payment Automotive;70042;52328;2023-06-06T12:46:06;neural revolutionize grey
3;59920;94292;Borders Interactions;invoice Pants;10809;22947;2023-06-06T23:45:50;deposit benchmark
4;12922;52252;Savings Berkshire;action-items;1854;83666;2023-06-06T14:11:51;Chicken
5;78861;19319;Outdoors Automotive online;online;40201;79600;2023-06-06T17:16:43;payment ubiquitous
6;61080;19622;evolve;parse;94108;39085;2023-06-06T08:26:16;navigating Congo
7;24621;58632;Georgia Turkmenistan;parse Automotive;88598;24992;2023-06-06T20:53:59;user-centric Front-line hardware
8;42838;86906;Branding;maroon CSS user-centric;79301;16573;2023-06-06T07:01:25;extend
9;68202;60055;auxiliary connect generation;intuitive Wooden;32352;49794;2023-06-06T09:13:11;deposit Fish HTTP
10;20827;82876;Salad incentivize Kentucky;yellow EXE;43704;5271;2023-06-07T03:50:24;Gorgeous
