id;carried_leaves;credited_leaves;date;balance;status;company_id;last_modified;last_modified_by
1;32177;78241;2023-04-06T03:32:49;64421;Personal;83121;2023-04-06T06:57:30;experiences white
2;4070;95891;2023-04-05T12:13:30;25516;set compressing;64555;2023-04-05T21:24:03;Philippines
3;53087;74600;2023-04-06T00:17:08;34942;deploy Checking solution-oriented;88116;2023-04-05T14:29:28;input program
4;9545;66274;2023-04-05T13:30:01;83925;Technician up;31390;2023-04-06T00:48:52;productivity
5;90681;24224;2023-04-06T05:41:32;18036;encryption Account Rustic;63473;2023-04-05T20:09:34;Plastic Organic SSL
6;43899;79988;2023-04-06T01:17:43;75981;Jersey Tuna turquoise;32130;2023-04-05T17:54:40;Fish
7;34242;57763;2023-04-05T17:13:34;972;Bike Practical;37944;2023-04-05T15:58:25;XSS world-class Kentucky
8;84119;63989;2023-04-05T15:45:03;74110;withdrawal infrastructure;34230;2023-04-06T00:52:26;Cotton mobile Steel
9;40798;91795;2023-04-06T11:00:34;84595;Representative Anguilla;94509;2023-04-05T17:13:17;compressing
10;59527;21312;2023-04-05T12:44:09;8336;Avon mission-critical Personal;89926;2023-04-06T09:13:33;bus
