id;leave_type;no_of_days;reason;form_date;to_date;leave_status;status;employe_id;company_id;last_modified;last_modified_by
1;Accounts withdrawal;66828;Cambridgeshire e-commerce;2023-04-05T18:41:55;2023-04-06T07:28:37;Account;Assistant;20388;78896;2023-04-06T04:39:21;Rustic
2;AI multi-byte;59866;Buckinghamshire quantify;2023-04-05T12:35:35;2023-04-05T20:23:21;Generic;South;11408;98150;2023-04-05T21:47:43;tolerance
3;markets;243;drive Malaysia Savings;2023-04-05T13:48:53;2023-04-06T11:22:35;ROI;Steel Investment Mexico;66146;46837;2023-04-05T20:33:07;conglomeration
4;bypassing;65574;grey Sports;2023-04-05T20:20:34;2023-04-05T23:25:08;programming microchip;Baby Interactions Developer;80857;28503;2023-04-05T21:02:25;Tunisia e-commerce
5;Cheese Berkshire;4116;gold;2023-04-05T17:17:14;2023-04-05T20:34:05;Handcrafted Buckinghamshire application;National;73708;2054;2023-04-05T20:26:39;tan
6;Group gold;31255;PNG;2023-04-05T13:16:58;2023-04-05T20:20:08;front-end Kids relationships;reinvent Concrete;69339;79508;2023-04-05T14:43:06;Timor-Leste Wisconsin
7;Jersey;16200;haptic Nuevo Consultant;2023-04-06T07:51:12;2023-04-05T13:57:10;parsing maximized;Table;62650;52234;2023-04-05T21:07:23;enhance Investment
8;projection payment;81259;Rubber;2023-04-05T18:03:17;2023-04-05T13:26:29;Kansas;Account Real;63699;2672;2023-04-06T03:47:35;Tasty Lead sensor
9;Plastic Representative ivory;60792;Rubber strategize;2023-04-06T00:12:01;2023-04-06T02:04:01;policy;Tools invoice Berkshire;10957;16057;2023-04-06T09:32:56;Refined neural
10;Shoals;40526;PCI;2023-04-05T17:55:09;2023-04-06T02:06:50;Plastic;payment Terrace;37863;78203;2023-04-06T04:18:35;Fresh Bacon
