id;leave_app_id;approver_emp_id;leave_status;sequence;status;company_id;last_modified;last_modified_by
1;21514;55512;withdrawal index;38391;invoice Dale;78140;2023-03-27T23:13:29;invoice
2;24480;74250;paradigms;28146;National SDD;74921;2023-03-28T06:37:17;Direct
3;53589;58650;Ergonomic payment toolset;34576;Assurance Buckinghamshire;62132;2023-03-28T09:23:06;Accountability Table
4;61041;57623;Creative;28376;capability static;4893;2023-03-27T14:15:12;Manager
5;37860;74957;capacitor bluetooth Open-source;10184;Zambia Gorgeous;73138;2023-03-28T10:22:15;index
6;70365;55464;Liaison back-end azure;38804;Pants Marketing Profound;89726;2023-03-27T12:44:26;Program
7;690;53216;holistic Cheese Bedfordshire;94510;Kids Configuration;83291;2023-03-27T17:17:44;client-driven Investment
8;66813;68219;deposit monitor;482;Jamaica;65258;2023-03-27T20:52:48;Global fuchsia
9;50014;45740;Legacy;79;Metal;7319;2023-03-27T16:13:07;Cambridgeshire Jewelery primary
10;73934;99073;azure;29160;Concrete transmitter;5592;2023-03-27T15:59:02;Pants systems
