id;is_carry_forword;gender_leave;total_leave;max_leave;haspro_rata_leave;description;ref_table;ref_table_id;status;company_id;last_modified;last_modified_by
1;false;42004;78640;93388;true;XML Pennsylvania Account;up;13099;parsing;24017;2023-04-05T16:52:21;Orchestrator
2;false;21130;89496;16338;false;Bedfordshire withdrawal Account;Slovenia Arab Loan;89711;lime Bike Division;55664;2023-04-05T14:27:22;GB Manager Pants
3;false;90530;67343;5333;true;Generic;Executive of Account;68668;monitor Legacy;62638;2023-04-05T12:12:20;cross-platform JBOD indigo
4;false;28817;52412;44266;true;Ergonomic Namibia Beauty;Shoes;12520;Dong cross-platform Fish;86439;2023-04-06T10:16:57;Chair
5;true;4017;19732;25249;true;networks Liaison neural-net;Organic gold;72561;Suriname Uganda;91945;2023-04-05T20:35:19;Rubber
6;true;44097;88261;77452;false;Account capacitor SAS;Estates Automotive;39635;Frozen Tasty Spur;80299;2023-04-05T12:52:59;ubiquitous overriding
7;false;99429;59554;80799;true;plum Salad;SQL mobile Future;53112;Fresh;49793;2023-04-05T15:09:19;Views
8;false;76017;55207;86981;true;Keyboard orchid Bhutan;B2C;74549;Nepal cross-platform Concrete;42412;2023-04-06T09:47:22;THX bottom-line standardization
9;false;57278;55995;78971;false;Tuna invoice AI;Object-based;99150;Burundi Music solution;32542;2023-04-06T02:39:44;Bacon
10;false;95663;91171;77715;true;web-enabled;feed Internal Via;22242;Industrial;7997;2023-04-06T01:49:09;Functionality Agent
