id;leave_type;no_of_days;has_carry_forward;has_earned;has_custom_policy;status;company_id;last_modified;last_modified_by
1;salmon Concrete;37821;true;true;true;facilitate blue;57886;2023-04-05T17:58:23;programming
2;Fresh Fish wireless;83079;false;false;true;Usability;45752;2023-04-06T01:58:51;Checking Plastic
3;Optimized Auto;85990;true;true;false;Functionality Auto Road;75795;2023-04-06T09:24:03;action-items grid-enabled Bacon
4;Auto RAM;37899;false;true;false;Bedfordshire Fresh Public-key;89176;2023-04-05T13:44:37;morph
5;Hampshire parallelism;53777;false;false;true;Future Bahamian neural;18131;2023-04-05T20:43:15;Rubber Exclusive
6;Home Concrete tertiary;49929;false;true;true;Concrete Developer;89282;2023-04-06T04:54:04;benchmark Orchestrator
7;customized;20159;true;false;true;Colorado;13086;2023-04-06T06:25:07;cross-platform envisioneer Health
8;Extended Money;72426;false;true;false;plum generate;33361;2023-04-06T05:43:12;New Right-sized
9;Greens Loan;96945;false;false;false;Orchestrator Chief Planner;19709;2023-04-06T09:19:07;cross-platform
10;open-source USB reintermediate;61583;true;false;false;Australian Mozambique withdrawal;34633;2023-04-05T23:02:06;utilize clear-thinking
