id;name;rate_type;rate;status;company_id;last_modified;last_modified_by
1;quantifying Vista Ruble;bypass;6131;Islands;89999;2023-04-06T00:09:43;teal bluetooth Supervisor
2;Account sticky;Savings Industrial lavender;71815;Niger enterprise New;55066;2023-04-05T21:00:02;withdrawal Assurance Philippine
3;encoding niches transmit;calculating;9994;Soap Course Automotive;74312;2023-04-06T00:04:44;Officer Bedfordshire Trail
4;Sausages;services Reverse-engineered Nebraska;68579;Vermont Markets Paradigm;31931;2023-04-05T16:44:58;Administrator Berkshire open-source
5;Platinum copying;Concrete;68461;Row users Robust;12457;2023-04-06T04:04:22;monitoring
6;parsing;Outdoors;33546;Decentralized Creative Gloves;566;2023-04-06T08:21:41;white mobile
7;quantify Uzbekistan Pants;Salad Games Dirham;70114;compressing Rustic;34242;2023-04-05T22:03:50;ADP
8;indexing Ergonomic;paradigms set Tuna;14219;1080p Industrial;80408;2023-04-06T02:58:38;wireless Gloves
9;vortals Account Rubber;Zloty Account protocol;7225;SCSI Enterprise-wide;25766;2023-04-05T18:44:46;Central primary
10;Frozen Incredible Producer;panel networks multi-byte;63253;e-tailers Response;69554;2023-04-06T03:50:27;transmitting
