id;employee_id;status;company_id;last_modified;last_modified_by
1;30467;Cotton Regional;25395;2023-06-06T22:14:58;indigo
2;94780;payment;88712;2023-06-06T11:52:55;Account Salvador overriding
3;40481;Rican 1080p Programmable;72472;2023-06-06T15:23:27;partnerships
4;81146;withdrawal Architect;58304;2023-06-06T09:20:11;monetize override Refined
5;19008;Bike state;22971;2023-06-07T00:08:09;partnerships Berkshire Wyoming
6;41630;Intelligent implement conglomeration;14326;2023-06-06T14:02:29;HDD dedicated
7;28331;AGP Account;76920;2023-06-06T16:03:07;Account Brooks aggregate
8;12112;harness Directives FTP;93234;2023-06-06T10:02:34;disintermediate synthesize
9;80410;Specialist;1861;2023-06-06T11:30:47;Factors
10;54147;cross-media;47553;2023-06-06T19:25:04;Team-oriented
