id;designation_id;indicator_value;status;company_id;last_modified;last_modified_by
1;88168;Soft;Berkshire extend Data;76742;2023-06-06T19:16:26;Louisiana Steel France
2;7881;Marketing;Licensed focus Minnesota;34080;2023-06-06T06:53:11;Stravenue neural
3;77605;Account;Handmade blue;82642;2023-06-06T17:23:45;matrix
4;23623;South Views;conglomeration extend complexity;19655;2023-06-07T01:05:35;Via Small Research
5;50372;Granite;Architect Granite;67326;2023-06-06T07:18:35;Loti
6;77130;Functionality;Loan Human;37201;2023-06-06T21:22:12;Mandatory
7;70511;benchmark;optimize Account Wooden;7765;2023-06-06T05:17:24;bluetooth indexing
8;77714;payment PCI;Intelligent circuit bus;83111;2023-06-06T17:15:58;e-services e-tailers Gorgeous
9;51376;optical teal Grocery;Bacon Agent Practical;1075;2023-06-06T20:00:55;National Profound
10;82672;Developer streamline card;Ball;49034;2023-06-07T03:46:45;Analyst Italy
