id;region_name;description;region_id;status;company_id;last_modified;last_modified_by
1;International Practical;Jordanian;56433;Usability;25878;2023-04-06T01:33:07;compress Soap Practical
2;Gorgeous;payment Refined payment;78567;Hat;93004;2023-04-05T21:51:25;Soft transmitting
3;Jewelery;Account bypassing;14807;Circles Implementation;44185;2023-04-05T18:43:30;Point gold
4;Cotton Licensed;indexing invoice Delaware;20598;Savings zero;17612;2023-04-05T18:08:54;Iraq payment
5;virtual United up;Colorado Connecticut;53789;backing Wooden Bedfordshire;1928;2023-04-06T00:05:36;back-end haptic
6;visionary;Central Savings mobile;63417;Soft;16446;2023-04-06T05:00:56;connect Bedfordshire
7;Cambridgeshire National Ball;deposit;34092;Rubber Automotive;54096;2023-04-05T18:50:21;intelligence Sleek
8;Accounts Intranet Avon;Exclusive;33282;Avenue Future;56235;2023-04-05T18:08:52;Marketing
9;Buckinghamshire Bedfordshire functionalities;Alabama transitional;34298;Hungary;66448;2023-04-05T15:46:50;black
10;Data Cambridgeshire Forward;Group;11223;Pants;55860;2023-04-06T10:08:32;platforms enterprise
