id;salary_type;amount;payment_type;employee_id;status;company_id;last_modified;last_modified_by
1;bluetooth Lev;90159;approach actuating;58851;index payment Central;22143;2023-04-06T08:32:51;Bedfordshire violet sensor
2;quantifying;61127;e-markets Steel;50310;seize Virginia User-centric;200;2023-04-06T10:33:52;HTTP generate Implementation
3;Account;11620;Tools Concrete Uzbekistan;58841;Borders;68061;2023-04-05T13:04:52;Franc
4;Pine interfaces;11159;National microchip magenta;35748;Kyat;1012;2023-04-06T01:07:45;Norway
5;1080p Franc International;15296;Tennessee Concrete;94218;real-time;53409;2023-04-06T00:14:18;Gibraltar white
6;fuchsia;21448;iterate Idaho;52478;Realigned Steel e-tailers;21522;2023-04-05T20:21:37;withdrawal
7;Granite;88487;Steel;82856;human-resource;64793;2023-04-06T04:48:44;Specialist Metrics International
8;analyzing empowering Group;80165;withdrawal Krone;89534;throughput card;22999;2023-04-06T00:24:54;Avon Forks
9;Kyat overriding;47852;back ivory Account;81156;Brand Vermont;88868;2023-04-06T05:57:00;initiative Senior Corporate
10;collaborative;15382;Infrastructure;31600;user-facing Sausages;68214;2023-04-06T02:25:39;Cheese Mauritius seize
