id;employee_id;reporting_emp_id;reporting_id;company_id;status;last_modified;last_modified_by
1;33792;92044;6820;4404;Alabama Legacy Books;2023-04-05T17:25:44;Cambridgeshire
2;86256;92892;4424;70384;Vermont;2023-04-05T18:20:26;Internal
3;67504;1996;30734;31272;Leone;2023-04-05T20:00:53;GB withdrawal Keyboard
4;14448;20267;79286;14157;Operations frictionless;2023-04-06T00:34:59;Keyboard
5;81153;17175;76165;39414;Dynamic Sleek HTTP;2023-04-05T13:26:12;Toys
6;84757;29829;95279;5275;implement Assistant Corporate;2023-04-05T23:16:19;overriding Manors
7;61802;507;94409;58624;Gibraltar lime Soft;2023-04-05T17:07:55;Dynamic Avon
8;97859;45625;49744;83391;1080p magnetic invoice;2023-04-06T01:36:32;impactful Customer
9;31593;90962;43626;87069;Avon Oregon bifurcated;2023-04-06T11:14:00;Avon
10;63207;41872;10949;64790;Turkey Managed Assurance;2023-04-05T16:42:12;Islands Metal
