id;type;amount;isdeduction;month;year;status;employee_id;company_id;last_modified;last_modified_by
1;Concrete schemas;55529;true;pixel;Salad;Account Ball;70583;51890;2023-04-06T00:48:29;Shoes artificial
2;platforms;80810;true;Montana payment;Hat;Sleek;65595;81216;2023-04-05T21:08:30;pixel XML
3;Global;18961;false;Landing Market e-services;Knoll;Card;61399;73420;2023-04-06T07:28:15;Savings withdrawal
4;Phased Plain Self-enabling;77092;false;synergistic invoice;transmitter CSS;Borders;51226;97634;2023-04-05T18:30:34;invoice Soft
5;embrace Rubber;90353;false;up;Rustic haptic Argentine;methodical Mauritius;9033;39358;2023-04-05T15:36:27;array Mississippi
6;repurpose tangible Associate;781;false;web-readiness Towels;customer Carolina Springs;Toys orange line;66788;80630;2023-04-05T22:28:12;capacitor Soap intelligence
7;Account;66155;false;Forward Hungary;3rd compress;synergy;70313;68554;2023-04-05T13:44:18;override 4th
8;Granite;9451;false;navigating;input;Architect interface Executive;15821;41635;2023-04-06T10:27:48;Chicken connecting
9;bypass;88183;true;bypass Forward bypassing;schemas Checking;fault-tolerant Movies;10768;53116;2023-04-06T06:35:29;secondary
10;payment Lanka;68441;true;ROI payment Wells;extensible;Shirt;63651;29887;2023-04-05T17:09:52;Movies scalable Madagascar
