id;da;hra;employee_share;company_share;status;company_id;last_modified;last_modified_by
1;90856;37387;70291;26242;neural Account blockchains;8634;2023-04-06T07:25:15;groupware Shoes Account
2;47348;79902;59123;85067;Mouse;86511;2023-04-06T09:55:36;Kids
3;78938;6931;13072;90433;next-generation front-end hierarchy;76122;2023-04-05T18:35:14;Toys deposit
4;19634;51191;38306;9284;Guatemala Applications;55054;2023-04-06T10:20:37;index Washington
5;91896;47629;93686;51548;mission-critical secured bus;89271;2023-04-06T09:56:02;Account
6;96086;35531;79821;48788;tolerance;40680;2023-04-06T09:02:53;unleash Persistent
7;49359;61647;96809;3500;Refined Mali yellow;83471;2023-04-05T21:09:45;Chips Falls Yen
8;41515;88833;81608;17976;Legacy;98716;2023-04-06T05:25:49;cross-platform Montana parsing
9;46189;23339;86923;4459;Berkshire next-generation virtual;31990;2023-04-05T13:01:45;copying Ergonomic
10;40434;46304;77233;48296;deposit Ranch;24640;2023-04-06T03:02:32;Officer Berkshire
