id;state_name;lgd_code;status;last_modified;last_modified_by
1;salmon;86960;Bedfordshire Salad;2023-04-06T06:29:44;withdrawal
2;Sleek Direct;16875;Missouri monitor orchid;2023-04-05T23:39:48;Auto conglomeration benchmark
3;Romania Mayen Streamlined;35263;Profit-focused content-based Chicken;2023-04-06T04:24:31;payment Fresh
4;XSS Tactics International;23227;Architect withdrawal;2023-04-05T23:47:02;generation payment Jewelery
5;hack;6655;Vision-oriented Wooden;2023-04-05T18:05:29;cutting-edge
6;transmitting Union Configuration;20171;Security Account;2023-04-06T03:30:17;Bacon Product Jewelery
7;Avon Keyboard;55333;up Forward mesh;2023-04-06T01:56:39;bluetooth
8;paradigms;11872;Iran Investor;2023-04-05T20:49:01;defect bypassing Facilitator
9;Point;31201;Tokelau Re-contextualized;2023-04-05T17:22:46;generate
10;plum Tennessee tan;81230;Prairie Total Mexico;2023-04-05T18:43:44;Customer generating
