id;tax_exemp_section;tax_exemp_section_id;maxlimit;status;company_id;last_modified;last_modified_by
1;Movies;88867;85122;supply-chains Samoa;36924;2023-06-06T05:09:41;stable EXE Data
2;Africa;93220;28800;up;95570;2023-06-06T14:30:20;Cliffs
3;visionary;7766;35926;Beauty User Coordinator;17417;2023-06-07T00:19:17;U.S. Bulgarian Incredible
4;withdrawal;19551;42858;redundant compress;52491;2023-06-06T17:43:22;Devolved Account Automotive
5;Colombia;14179;94114;New Associate;10247;2023-06-06T16:12:47;transparent
6;sensor Peso Rustic;85679;48709;Bedfordshire Berkshire enhance;97925;2023-06-06T04:19:28;Cotton Avon
7;virtual overriding Fresh;95193;17236;interface Fantastic;98231;2023-06-06T04:36:17;primary
8;tertiary;71824;12874;Technician transmitter;84146;2023-06-06T15:40:10;Burgs Mill cutting-edge
9;open-source Personal;82917;93800;parse connect;57003;2023-06-06T14:00:51;grey interactive
10;Soft Fully-configurable Macao;55138;77711;Cambridgeshire;91755;2023-06-06T04:25:43;Bahrain
