id;tax_regime_name;status;company_id;last_modified;last_modified_by
1;Oregon Mouse;Small;87206;2023-06-06T23:51:15;mobile Bacon
2;online web-readiness;target;48559;2023-06-07T00:54:09;Practical
3;enterprise;Estonia Distributed;59489;2023-06-07T00:01:50;Investor morph withdrawal
4;magnetic;XSS;76557;2023-06-06T17:02:48;Pa'anga
5;Cambridgeshire cyan;web;56467;2023-06-06T13:44:48;UAE
6;Gorgeous Rhode;Arkansas synthesizing invoice;52269;2023-06-07T01:15:31;Gorgeous Corporate Spring
7;Accounts solution SMS;mission-critical Run Metal;35068;2023-06-06T18:20:12;Infrastructure Garden architectures
8;Producer;compress olive;21696;2023-06-06T21:16:46;RAM
9;Games complexity Baby;paradigms;74574;2023-06-06T21:34:33;Estonia
10;uniform Swaziland JSON;Borders hardware;11528;2023-06-07T00:43:44;Wooden RAM
