id;slab;amt_from;amt_to;tax_percentage;tax_regime_id;tax_slab_id;status;company_id;last_modified;last_modified_by
1;application;39392;69637;48463;64822;81853;full-range;99076;2023-06-06T15:55:53;Keyboard Cambridgeshire
2;Licensed Senior FTP;39135;89836;61401;73883;13335;Barbados Dollar wireless;91045;2023-06-06T14:21:11;port Island Product
3;Solomon Wooden Automotive;81619;39672;44374;99501;29248;Forest Fantastic programming;10171;2023-06-06T18:16:53;intranet
4;content Buckinghamshire protocol;20482;4004;58453;71135;10140;composite Mayotte Checking;25867;2023-06-06T15:22:58;Assistant
5;reboot Refined Account;90596;97868;94757;77100;71944;plum edge;99027;2023-06-07T03:54:34;generate enhance
6;Buckinghamshire extranet Metal;22828;3651;87302;91793;79234;architectures array well-modulated;87775;2023-06-06T09:20:14;Road
7;Toys collaboration partnerships;52002;35953;35648;43657;77220;Wooden Infrastructure transparent;22405;2023-06-06T13:49:23;Avon mobile Checking
8;harness;64853;38687;75646;24668;8939;AGP;69539;2023-06-06T17:27:21;data-warehouse
9;Music eyeballs;96936;3666;30230;21367;92715;virtual Rupee;29924;2023-06-06T09:41:14;Sahara interactive
10;Avon indexing fuchsia;33901;68571;46302;25521;44159;Buckinghamshire Administrator;12993;2023-06-06T12:44:54;leading
