id;salary_from;salary_to;percentage;salary_setting_id;status;company_id;last_modified;last_modified_by
1;2023-04-05T21:55:20;2023-04-05T21:18:59;79955;75045;Carolina Rustic array;63346;2023-04-06T06:22:02;AI foreground
2;2023-04-05T18:56:26;2023-04-05T19:05:27;4958;71544;definition Tajikistan;51716;2023-04-06T02:14:00;capacitor connecting
3;2023-04-06T06:06:35;2023-04-05T20:22:49;10444;59800;Granite Loan;13216;2023-04-05T13:11:16;demand-driven front-end
4;2023-04-06T05:34:17;2023-04-05T23:30:19;60807;84756;Lek Lats;1637;2023-04-06T06:33:33;reciprocal
5;2023-04-06T10:01:13;2023-04-05T12:14:07;95365;43995;Cheese Creek;82516;2023-04-06T02:40:56;Senior whiteboard Buckinghamshire
6;2023-04-05T23:21:22;2023-04-05T22:13:37;4594;1798;Representative ivory;30397;2023-04-05T18:02:57;disintermediate
7;2023-04-06T02:36:57;2023-04-05T21:44:15;38326;56220;Lake;39276;2023-04-06T07:05:42;mint Car
8;2023-04-05T17:09:44;2023-04-05T21:41:44;17088;54649;Fantastic withdrawal;80286;2023-04-06T07:08:26;engineer dedicated
9;2023-04-05T13:55:45;2023-04-06T01:28:22;13857;78385;Island transmitting 3rd;2998;2023-04-05T18:50:58;Pizza RSS
10;2023-04-06T11:13:31;2023-04-05T13:26:42;94895;60128;Handmade Engineer enterprise;17635;2023-04-06T07:06:41;Berkshire JSON uniform
