id;training_cost;start_date;end_date;description;training_status;status;trainer_id;training_type_id;department_id;employee_id;company_id;last_modified;last_modified_by
1;22625;2023-04-06T05:29:20;2023-04-05T11:59:57;Rand Assurance;Concrete sky;Baby;5499;68751;28542;18940;79936;2023-04-05T16:22:43;Curve Garden navigating
2;93338;2023-04-05T17:41:58;2023-04-06T09:00:43;Triple-buffered compress;Regional Salad Home;Streamlined;32495;36728;13375;32343;50546;2023-04-06T05:03:34;Dollar Home
3;33123;2023-04-06T11:43:18;2023-04-06T10:57:10;Iran;revolutionize Rubber back-end;tangible Cambridgeshire;14053;75576;32899;62785;8697;2023-04-05T17:07:53;Home Lesotho Cambridgeshire
4;93503;2023-04-05T19:51:00;2023-04-06T04:22:30;strategic Loan;Montana transmitting payment;Computers;26084;60763;77323;5924;6349;2023-04-05T19:40:49;Frozen Island Massachusetts
5;61217;2023-04-05T22:29:19;2023-04-06T09:22:40;portals;transmit withdrawal indexing;Krone middleware;8095;18390;99424;95662;53218;2023-04-05T22:29:18;Bedfordshire calculate
6;61489;2023-04-05T14:32:23;2023-04-05T18:05:42;Steel FTP;mobile;Investor ROI;43933;84475;81058;44518;81955;2023-04-06T07:45:22;Intranet
7;23185;2023-04-06T04:22:31;2023-04-06T11:29:45;Won maximize;Kentucky Buckinghamshire Manager;feed reboot relationships;6414;32092;82918;11564;38579;2023-04-06T08:09:20;plum
8;57029;2023-04-06T04:20:17;2023-04-05T15:43:15;Path;system convergence collaborative;Handmade Proactive;84192;4829;80029;49157;18147;2023-04-06T06:56:06;Licensed withdrawal throughput
9;3619;2023-04-05T12:39:55;2023-04-06T01:10:10;Concrete SDD extensible;navigate;Belize Dollar;24998;76845;85174;77062;90352;2023-04-06T01:03:39;Quality-focused Synergistic Global
10;80707;2023-04-05T17:23:02;2023-04-05T22:51:46;Solutions;withdrawal B2C white;enterprise Frozen;75010;58301;91783;68360;79483;2023-04-06T02:49:36;the SCSI Shoals
