id;no_of_hours;employment_type_id;status;ref_table;ref_table_id;company_id;last_modified;last_modified_by
1;Credit Car Alaska;91619;Regional Puerto Product;Health;80681;83213;2023-04-06T09:09:43;Executive Implementation
2;Vermont Profit-focused Orchestrator;76097;Card hierarchy lime;Strategist;51494;54574;2023-04-05T12:13:35;Tactics Coordinator compress
3;transmitting;30681;systems Specialist array;Jewelery Drive Avon;56356;99466;2023-04-05T21:26:24;Stream indexing
4;Kentucky;83967;Infrastructure red for;generate withdrawal Markets;16204;75831;2023-04-05T17:47:19;maroon Real support
5;Alley Gloves white;35383;Associate;Rubber Chief Slovakia;45767;92591;2023-04-05T12:34:06;Nevada coherent
6;vortals;16660;primary web-readiness;USB Emirates Salvador;84414;87467;2023-04-05T17:10:27;Idaho
7;extend overriding;4813;models hacking;technologies New;53210;56050;2023-04-05T17:26:05;transmitter Table calculating
8;firewall;85222;bluetooth;auxiliary Fiji;30964;94666;2023-04-05T13:09:31;white Extensions
9;e-enable transmitter;94656;enterprise Dynamic;Bedfordshire Rubber Verde;47598;96938;2023-04-05T12:41:20;wireless Barbados
10;optimize Concrete;30930;Clothing Granite Fresh;Kong Table;29278;28090;2023-04-05T21:53:18;Mobility Proactive Buckinghamshire
